data_id,with_comp_action,use_comp_subtask_chain,use_atom_subtask_chain,done,env_steps,agents_steps,communication_times,CABTP_expanded_num,dmr_record_expanded_num,total_expanded_num,CABTP_expanded_time,dmr_expanded_time,total_expanded_time
4,True,False,False,True,73,146,0,0,47,47,0.0,0.006068229675292969,0.006068229675292969
4,True,False,True,True,73,136,16,0,47,47,0.0,0.006068229675292969,0.006068229675292969
4,True,True,False,True,73,146,0,0,47,47,0.0,0.006068229675292969,0.006068229675292969
4,True,True,True,True,73,136,16,0,47,47,0.0,0.006068229675292969,0.006068229675292969
5,False,False,False,True,128,509,0,0,852,852,0.0,0.20106005668640137,0.20106005668640137
5,False,False,True,True,128,506,58,0,852,852,0.0,0.20106005668640137,0.20106005668640137
5,True,False,False,True,64,254,0,8,8,16,0.0,0.00558161735534668,0.00558161735534668
5,True,False,True,True,64,254,0,8,8,16,0.0,0.00558161735534668,0.00558161735534668
5,True,True,False,True,64,128,4,8,8,16,0.0,0.00558161735534668,0.00558161735534668
5,True,True,True,True,64,128,4,8,8,16,0.0,0.00558161735534668,0.00558161735534668
6,False,False,False,True,128,255,0,0,378,378,0.0,0.057517290115356445,0.057517290115356445
6,False,False,True,True,128,255,30,0,378,378,0.0,0.057517290115356445,0.057517290115356445
6,True,False,False,True,104,207,0,8,72,80,0.0009963512420654297,0.009540081024169922,0.010536432266235352
6,True,False,True,True,104,207,6,8,72,80,0.0009963512420654297,0.009540081024169922,0.010536432266235352
6,True,True,False,True,104,207,4,8,72,80,0.0009963512420654297,0.009540081024169922,0.010536432266235352
6,True,True,True,True,104,198,10,8,72,80,0.0009963512420654297,0.009540081024169922,0.010536432266235352
7,False,False,False,True,104,312,0,0,240,240,0.0,0.025954723358154297,0.025954723358154297
7,False,False,True,True,103,290,30,0,240,240,0.0,0.025954723358154297,0.025954723358154297
7,True,False,False,True,103,309,0,6,97,103,0.0,0.009693384170532227,0.009693384170532227
7,True,False,True,True,126,377,4,6,97,103,0.0,0.009693384170532227,0.009693384170532227
7,True,True,False,True,104,184,2,6,97,103,0.0,0.009693384170532227,0.009693384170532227
7,True,True,True,True,94,197,12,6,97,103,0.0,0.009693384170532227,0.009693384170532227
8,False,False,False,True,95,190,0,0,45,45,0.0,0.003980398178100586,0.003980398178100586
8,False,False,True,True,94,188,20,0,45,45,0.0,0.003980398178100586,0.003980398178100586
8,True,False,False,True,95,190,0,6,4,10,0.0010001659393310547,0.0009961128234863281,0.001996278762817383
8,True,False,True,True,64,128,0,6,4,10,0.0010001659393310547,0.0009961128234863281,0.001996278762817383
8,True,True,False,True,64,96,4,6,4,10,0.0010001659393310547,0.0009961128234863281,0.001996278762817383
8,True,True,True,True,64,96,4,6,4,10,0.0010001659393310547,0.0009961128234863281,0.001996278762817383
9,False,False,False,True,128,255,0,0,511,511,0.0,0.11967778205871582,0.11967778205871582
9,False,False,True,True,128,255,30,0,511,511,0.0,0.11967778205871582,0.11967778205871582
9,True,False,False,True,104,207,0,8,185,193,0.0010197162628173828,0.03735208511352539,0.03837180137634277
9,True,False,True,True,104,207,6,8,185,193,0.0010197162628173828,0.03735208511352539,0.03837180137634277
9,True,True,False,True,104,207,4,8,185,193,0.0010197162628173828,0.03735208511352539,0.03837180137634277
9,True,True,True,True,104,198,10,8,185,193,0.0010197162628173828,0.03735208511352539,0.03837180137634277
10,False,False,False,True,63,126,0,0,16,16,0.0,0.001993417739868164,0.001993417739868164
10,False,False,True,True,62,124,12,0,16,16,0.0,0.001993417739868164,0.001993417739868164
10,True,False,False,True,63,126,0,4,5,9,0.0,0.0009868144989013672,0.0009868144989013672
10,True,False,True,True,32,64,0,4,5,9,0.0,0.0009868144989013672,0.0009868144989013672
10,True,True,False,True,32,64,4,4,5,9,0.0,0.0009868144989013672,0.0009868144989013672
10,True,True,True,True,32,64,4,4,5,9,0.0,0.0009868144989013672,0.0009868144989013672
11,False,False,False,True,134,535,0,0,622,622,0.0,0.08637499809265137,0.08637499809265137
11,False,False,True,True,124,494,46,0,622,622,0.0,0.08637499809265137,0.08637499809265137
11,True,False,False,True,96,381,0,8,12,20,0.0009965896606445312,0.0025441646575927734,0.0035407543182373047
11,True,False,True,True,96,381,0,8,12,20,0.0009965896606445312,0.0025441646575927734,0.0035407543182373047
11,True,True,False,True,64,136,10,8,12,20,0.0009965896606445312,0.0025441646575927734,0.0035407543182373047
11,True,True,True,True,64,136,10,8,12,20,0.0009965896606445312,0.0025441646575927734,0.0035407543182373047
12,False,False,False,True,134,535,0,0,756,756,0.0,0.16568517684936523,0.16568517684936523
