data_id,with_comp_action,use_comp_subtask_chain,use_atom_subtask_chain,done,env_steps,agents_steps,communication_times,CABTP_expanded_num,dmr_record_expanded_num,total_expanded_num,CABTP_expanded_time,dmr_expanded_time,total_expanded_time
7,True,False,True,True,126,377,4,6,97,103,0.0005023479461669922,0.01157379150390625,0.012076139450073242
7,True,True,False,True,104,184,2,6,97,103,0.0005023479461669922,0.01157379150390625,0.012076139450073242
7,True,True,True,True,94,197,12,6,97,103,0.0005023479461669922,0.01157379150390625,0.012076139450073242
8,False,False,False,True,95,190,0,0,45,45,0.0,0.0030226707458496094,0.0030226707458496094
8,False,False,True,True,94,188,20,0,45,45,0.0,0.0030226707458496094,0.0030226707458496094
8,True,False,False,True,95,190,0,6,4,10,0.0,0.0010509490966796875,0.0010509490966796875
8,True,False,True,True,64,128,0,6,4,10,0.0,0.0010509490966796875,0.0010509490966796875
8,True,True,False,True,64,96,4,6,4,10,0.0,0.0010509490966796875,0.0010509490966796875
8,True,True,True,True,64,96,4,6,4,10,0.0,0.0010509490966796875,0.0010509490966796875
9,False,False,False,True,128,255,0,0,560,560,0.0,0.11387276649475098,0.11387276649475098
9,False,False,True,True,128,255,30,0,560,560,0.0,0.11387276649475098,0.11387276649475098
9,True,False,False,True,104,207,0,8,185,193,0.0,0.045049190521240234,0.045049190521240234
9,True,False,True,True,104,207,6,8,185,193,0.0,0.045049190521240234,0.045049190521240234
9,True,True,False,True,104,207,4,8,185,193,0.0,0.045049190521240234,0.045049190521240234
9,True,True,True,True,104,198,10,8,185,193,0.0,0.045049190521240234,0.045049190521240234
10,False,False,False,True,63,126,0,0,16,16,0.0,0.0009925365447998047,0.0009925365447998047
10,False,False,True,True,62,124,12,0,16,16,0.0,0.0009925365447998047,0.0009925365447998047
10,True,False,False,True,63,126,0,4,5,9,0.0,0.0,0.0
10,True,False,True,True,32,64,0,4,5,9,0.0,0.0,0.0
10,True,True,False,True,32,64,4,4,5,9,0.0,0.0,0.0
10,True,True,True,True,32,64,4,4,5,9,0.0,0.0,0.0
11,False,False,False,True,134,535,0,0,622,622,0.0,0.09118008613586426,0.09118008613586426
11,False,False,True,True,124,494,46,0,622,622,0.0,0.09118008613586426,0.09118008613586426
11,True,False,False,True,96,381,0,8,12,20,0.0009915828704833984,0.0039196014404296875,0.004911184310913086
11,True,False,True,True,96,381,0,8,12,20,0.0009915828704833984,0.0039196014404296875,0.004911184310913086
11,True,True,False,True,64,136,10,8,12,20,0.0009915828704833984,0.0039196014404296875,0.004911184310913086
11,True,True,True,True,64,136,10,8,12,20,0.0009915828704833984,0.0039196014404296875,0.004911184310913086
12,False,False,False,True,134,535,0,0,756,756,0.0,0.18944120407104492,0.18944120407104492
